"variable";"dtype"
"Num_Acc";"character"
"id_vehicule";"character"
"place";"factor"
"catu";"factor"
"grav";"factor"
"sexe";"factor"
"an_nais";"integer"
"trajet";"factor"
"secu1";"factor"
"secu2";"factor"
"senc";"factor"
"catv";"factor"
"obs";"factor"
"obsm";"factor"
"choc";"factor"
"manv";"factor"
"motor";"factor"
"mois";"integer"
"hrmn";"factor"
"lum";"factor"
"dep";"factor"
"agg";"factor"
"int";"factor"
"atm";"factor"
"col";"integer"
"lat";"integer"
"long";"integer"
"catr";"factor"
"circ";"factor"
"nbv";"factor"
"vosp";"factor"
"prof";"factor"
"plan";"factor"
"surf";"factor"
"infra";"factor"
"situ";"factor"
"vma";"factor"
